Barrel_No,Barrel_type,Trial name,Plot no.
1,Big,Bulk 2007,48201-48800
2,Big,Bulk 2007,48801-49300
3,Big,Bulk 2007,49301-49784
4,Big,Bulk 2009,50101-50800
5,Big,Bulk 2009,50801-51500
6,Big,Bulk 2010,51601-52300
7,Big,Bulk 2010,52301-53031
8,Big,"Res. AB,FW,CT,DT, AB3",
9,Big,"AB1,AB2,AB4,A5,A6",
10,Big,"FW1,FW2,CT,DR1, Bulk00,Bulk01, DR3",
11,Big,Desi tilling,
12,Big,"Bulk2002,Bulk2003,Bulk2004,DR2, DiffFW",
13,Big,"FLIP86-5C (Balila2), FLIP06-155C, ILC3279, FLIP82-150C",
14,Big,"Salt1, Salt2, LA1, LM1, AB8, Nem1, CIDTN013, CIABN013, Res.s(DR), F3RLIs(Dev.),  Demo.(AB), Demo.(FW), Demo.(CT), Demo.(DR), WBPT",
15,Big,"Bulk2006, Res seed Bulk015, F4ssd(X013-KF.)2017 ",
16,Big,"ILC533, ILC1929, FLIP97-107, FLIP87-59, ILC263, ILC484, Balila, ILC3397, ILC12004,  Kaka",
17,Big,INC(AUB)013,40001-40113
18,Big,INC(AUB)013,40114-40253
19,Big,INC(AUB)013,40254-40375
20,Big,INC(AUB)013,40376-40495
21,Big,INC(AUB)013,40496-40610
22,Big,INC(AUB)013,40611-40669
23,Big,INC(AUB)013,
24,Big,INC(AUB)013,
25,Big,"INC. 2015 (CAT, CICTN)",
26,Big,"INC. 2015 (CIDTN, CIEN-E, CIEN-S, CIEN-LS)",
27,Big,"INC. 2015 (CIABN, CIEN-W, CIEWN)",
28,Big,"Heat Trials2013, Herbicide2014",
29,Big,INC.014(AUB),70001-70067
30,Big,INC.014(AUB),70068-70134
31,Big,INC.014(AUB),70135-70200
32,Big,INC.014(AUB),70201-70267
33,Big,INC.014(AUB),70268-70337
34,Big,INC.014(AUB),70335-70403
35,Big,INC.014(AUB),70404-70474
36,Big,INC.014(AUB),70475-70538
37,Big,INC.014(AUB),70539-70599
38,Big,"INC.014(AUB), Demo2014",70600-70648
39,Big,"FLIP88-85C, FLIP97-677, FLIP87-59C, FLIP09-68C",
40,Big,Parents CB. 014,1-1    -    55-2
41,Big,"Remaining RILs (Plastic house)2014-2015, NL. Pakistan & India(ISO)012, DIFF(FW)014, DIFF(AB) 014, Parents CB.014",
42,Big,"Janta2, FLIP98-117C, FLIP93-58C, FLIP93146C, FLIP87-59C, ILC533, FLIP97-137C",
43,Big,Bulk013,
44,Big,Bulk013,
45,Big,Bulk013,
46,Big,F1 2016,
47,Big,"F4ssd E. (FW)2016, F1 2014, CB.2014",
48,Big,,
49,Big,"ILC263, FLIP09-77C",
50,Big,"FLIP11-01C, ILC1929, FLIP84-15C",
51,Big,FLIP11-01C,
52,Big,"FLIP86-05C, FLIP09-77C",
53,Big,,
54,Big,"FLIP93-93C, FLIP06-155C",
55,Big,"FLIP97-706C, FLIP05-4C, FLIP04-05C, FLIP84-92C, FLIP97-07C",
101,Medium,Subset(DR),22201-22227
102,Medium,Subset(DR),22228-22254
103,Medium,Subset(DR),22255-22284
104,Medium,Subset(DR),22285-22309
105,Medium,Subset(DR),22310-22337
106,Medium,Subset(DR),22338-22366
107,Medium,Subset(DR),22367-22392
108,Medium,Subset(DR),22393-33420
109,Medium,Subset(DR),22421-22443
110,Medium,Buli011(inc),20701-20792
111,Medium,Buli011(inc),20793-20880
112,Medium,Buli011(inc),20881-20945
113,Medium,Desi tilling,44601-46921
114,Medium,Desi tilling,46922-47200
115,Medium,Desi tilling,47201-47490
116,Medium,Desi tilling,47491-47800
117,Medium,Desi tilling,47801-48024
118,Medium,"Desi tilling(Aleppo), F5RILs(CT2)2017",
119,Medium,Subset(FW),22044-22074
120,Medium,Subset(FW),22075-22102
121,Medium,Subset(FW),22103-22136
122,Medium,Subset(FW),22137-22167
123,Medium,Subset(FW),22168-22185
124,Medium,CIEN-W (2012),
125,Medium,Bulk014 (2016),21001-21163
126,Medium,Bulk014 (2016),21164-21322
127,Medium,Bulk014 (2016),21323-21400
128,Medium,Bulk014 (2016),21401-21666
129,Medium,Bulk014 (2016),21667-21802
130,Medium,CIENW (2012),
131,Medium,Subset(CT),22501-22547
132,Medium,Subset(CT),22548-22581
133,Medium,Subset(CT),22582-22615
134,Medium,Subset(CT),22620-22646
135,Medium,Subset(CT),22647-22700
136,Medium,CIEN-S (2014),
137,Medium,CIEN-W (2014),
138,Medium,CIEN-LA (2014),
139,Medium,E. maturity (2016),
140,Medium,NL.AUS(inc)2015,49101-49130
141,Medium,NL.AUS(inc)2015,49131-49155
142,Medium,NL.AUS(inc)2015,49156-49175
143,Medium,CB.016 Parents,1-1 to 32-2
144,Medium,CB.016 Parents,33-1 to 68-2
145,Medium,CB.016 Parents,69-1 to 102-2
146,Medium,CB.016 Parents,103-1 to 153-2
147,Medium,"RILsAB7(2016), RILsAB5(2016)",
148,Medium,Herbicide2016,
149,Medium,"Demo.2015 , ",1 to 20
150,Medium,"Wild sp. (inc), Herbicide (inc)",49201-49234           48901-48912
151,Medium,Diff inc. 2016,34501-34544
152,Medium,RILs DR(2016),
153,Medium,"RILs Salt2(2016), F5RILs(DR4)2017",
154,Medium,"F8prog.(DR)KF.2017, F8prog.Ksh. 2017",
155,Medium,F3prog.E(fw) 2016,
156,Medium,INC.2017(AREC),60001-60096
157,Medium,INC.2017(AREC),60097-60200
158,Medium,INC.2017(AREC),60201-60297
159,Medium,INC.2017(AREC),60298-60374
201,Small,"PYT 1,PYT2,PYT3 (2011)",
202,Small,"PYT 4,PYT5,PYT6 (2011)",
203,Small,"PYT7,CAT,CICTN",
204,Small,"CIEN-S, CIEN-W (2011)",
205,Small,"CIEN-SL1, CIEN-SL2 (2011)",
